name,num_fights,wins,W_KO,W_SUB,W_DEC,losses,L_KO,L_SUB,L_DEC,average_head_hits_to_ko,average_head_hits_to_chin,average_takedowns_to_sub,average_takedowns_to_subed,average_takedowns,average_knockdowns,average_knocked_down,average_taken_down
Steve Vigneault,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Tom Murphy,1,1,1,0,0,0,0,0,0,30.0,0,0,0,6.0,0.0,0,0
Icho Larenas,1,0,0,0,0,1,1,0,0,0,30.0,0,0,0,0,0.0,6.0
Justin Eilers,4,1,1,0,0,3,3,0,0,4.0,12.33,0,0,0.0,1.0,0.67,0.0
Mike van Arsdale,4,2,0,1,1,2,0,2,0,0,0,3.0,2.0,1.5,0.0,0.5,2.5
Mike Whitehead,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Alex Karalexis,3,1,1,0,0,2,1,1,0,6.0,18.0,0,0.0,1.0,0.0,0.0,0.5
Kevin Jordan,2,0,0,0,0,2,1,1,0,0,13.0,0,0.0,0,0,1.0,1.0
Jeff Newton,1,0,0,0,0,1,0,1,0,0,0,0,3.0,0,0,0.0,3.0
Kit Cope,1,0,0,0,0,1,0,1,0,0,0,0,3.0,0,0,0.0,3.0
Kerry Schall,1,0,0,0,0,1,1,0,0,0,19.0,0,0,0,0,1.0,0.0
Sean Gannon,1,0,0,0,0,1,1,0,0,0,20.0,0,0,0,0,0.0,1.0
Keigo Kunihara,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Ron Faircloth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tra Telligman,5,1,0,1,0,4,4,0,0,0,17.5,0.0,0,0.0,1.0,0.75,1.0
Brian Gassaway,1,0,0,0,0,1,1,0,0,0,35.0,0,0,0,0,0.0,3.0
Matt Lindland,11,8,3,1,4,3,2,1,0,18.33,3.0,27.0,2.0,3.38,0.0,1.0,2.0
Bill Mahood,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Koji Oishi,2,0,0,0,0,2,1,0,1,0,20.0,0,0,0,0,0.5,0.0
Travis Wiuff,2,0,0,0,0,2,1,1,0,0,19.0,0,2.0,0,0,0.0,2.0
John Marsh,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0
Bobby Southworth,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0
Jason Thacker,1,0,0,0,0,1,1,0,0,0,21.0,0,0,0,0,0.0,1.0
Chris Sanford,1,0,0,0,0,1,1,0,0,0,13.0,0,0,0,0,0.0,2.0
Lodune Sincaid,1,0,0,0,0,1,1,0,0,0,26.0,0,0,0,0,0.0,0.0
Alex Schoenauer,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,1.0,0.0
Josh Rafferty,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,0.0
Mike Kyle,3,2,2,0,0,1,1,0,0,7.5,4.0,0,0,0.5,1.0,1.0,0.0
Renato Verissimo,3,1,0,0,1,2,1,0,1,0,26.0,0,0,3.0,0.0,0.0,3.0
Tony Fryklund,3,2,1,1,0,1,0,1,0,52.0,0,1.0,0.0,0.5,0.5,1.0,0.0
Vernon White,2,0,0,0,0,2,1,0,1,0,27.0,0,0,0,0,1.0,1.5
Ronald Jhun,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,1.0,0.0
Kimo Leopoldo,6,2,1,1,0,4,1,2,1,9.0,3.0,4.0,0.5,2.0,0.0,0.25,0.25
Curtis Stout,2,0,0,0,0,2,0,1,1,0,0,0,2.0,0,0,0.0,2.0
Tiki Ghosn,4,0,0,0,0,4,1,3,0,0,5.0,0,2.33,0,0,0.25,1.75
Wesley Correira,4,2,2,0,0,2,2,0,0,17.0,78.0,0,0,0.0,0.5,0.5,0.0
Wes Sims,2,0,0,0,0,2,2,0,0,0,13.0,0,0,0,0,1.0,2.5
Jonathan Wiezorek,1,1,1,0,0,0,0,0,0,10.0,0,0,0,1.0,0.0,0,0
Wade Shipp,1,0,0,0,0,1,1,0,0,0,10.0,0,0,0,0,0.0,1.0
Genki Sudo,3,2,0,2,0,1,0,0,1,0,0,3.0,0,3.0,0.0,0.0,1.0
Carlos Newton,6,3,0,3,0,3,2,0,1,0,27.0,2.67,0,2.67,0.0,0.0,3.67
Lee Murray,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
Falaniko Vitale,2,1,1,0,0,1,1,0,0,1.0,19.0,0,0,0.0,0.0,0.0,1.0
David Abbott,12,6,3,2,1,6,3,3,0,7.33,12.67,3.0,0.33,1.0,0.5,0.5,0.5
Pedro Rizzo,14,9,7,0,2,5,2,0,3,11.29,20.0,0,0,0.22,0.89,0.2,3.2
Ricco Rodriguez,7,5,5,0,0,2,1,0,1,25.0,10.0,0,0,3.4,0.0,0.5,4.0
Keith Rockel,2,1,0,1,0,1,0,1,0,0,0,3.0,0.0,3.0,0.0,0.0,0.0
Chris Liguori,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Nick Agallar,1,0,0,0,0,1,1,0,0,0,14.0,0,0,0,0,1.0,0.0
Gan McGee,4,2,2,0,0,2,2,0,0,11.0,10.0,0,0,1.0,0.0,0.5,0.5
Dave Strasser,2,1,0,0,1,1,0,1,0,0,0,0,3.0,1.0,0.0,1.0,5.0
Gerald Strebendt,1,0,0,0,0,1,1,0,0,0,10.0,0,0,0,0,1.0,1.0
Ian Freeman,6,3,2,0,1,3,1,1,1,20.5,7.0,0,1.0,1.0,0.0,0.33,1.67
Eddie Ruiz,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0
Romie Aram,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0
Sean Alvarez,1,0,0,0,0,1,1,0,0,0,21.0,0,0,0,0,0.0,0.0
Richard Crunkilton,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,2.0
Mark Weir,3,1,1,0,0,2,1,1,0,4.0,15.0,0,2.0,0.0,2.0,0.0,1.5
Alexandre Dantas,2,0,0,0,0,2,2,0,0,0,18.5,0,0,0,0,0.5,0.0
Gil Castillo,3,1,0,0,1,2,1,0,1,0,14.0,0,0,10.0,0.0,0.0,1.0
Phillip Miller,2,2,0,1,1,0,0,0,0,0,0,6.0,0,3.0,0.0,0,0
Benji Radach,2,1,0,0,1,1,1,0,0,0,6.0,0,0,0.0,2.0,0.0,2.0
Eugene Jackson,7,3,2,1,0,4,1,3,0,17.0,4.0,2.0,1.33,0.67,0.67,0.25,2.0
Leigh Remedios,1,0,0,0,0,1,0,1,0,0,0,0,2.0,0,0,0.0,2.0
James Zikic,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,4.0
Chris Haseman,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Nick Serra,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0
Zach Light,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Steve Berger,2,0,0,0,0,2,1,0,1,0,16.0,0,0,0,0,1.0,3.0
Rodrigo Ruas,1,0,0,0,0,1,1,0,0,0,52.0,0,0,0,0,1.0,0.0
Joao Pierini,1,0,0,0,0,1,1,0,0,0,3.0,0,0,0,0,0.0,0.0
Murilo Bustamante,4,3,1,2,0,1,0,0,1,8.0,0,5.0,0,3.33,0.67,1.0,0.0
Tsuyoshi Kohsaka,6,3,1,0,2,3,3,0,0,7.0,15.67,0,0,2.33,0.0,0.67,1.67
Paul Creighton,1,0,0,0,0,1,1,0,0,0,17.0,0,0,0,0,0.0,0.0
Amar Suloev,2,0,0,0,0,2,1,0,1,0,10.0,0,0,0,0,0.0,0.0
Andrei Semenov,2,1,1,0,0,1,1,0,0,5.0,20.0,0,0,1.0,1.0,0.0,3.0
Hayato Sakurai,1,0,0,0,0,1,1,0,0,0,34.0,0,0,0,0,0.0,9.0
Pat Miletich,9,7,2,2,3,2,1,1,0,6.5,19.0,5.0,4.0,1.43,0.14,0.0,5.0
Pete Williams,8,3,1,2,0,5,2,1,2,13.0,14.5,1.5,0.0,1.0,0.67,0.4,3.4
Kelly Dullanty,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Jutaro Nakao,2,1,1,0,0,1,0,0,1,3.0,0,0,0,0.0,1.0,0.0,7.0
Kevin Randleman,7,4,0,0,4,3,2,0,1,0,9.5,0,0,5.25,0.0,0.67,0.33
Chris Brennan,2,1,0,1,0,1,0,0,1,0,0,1.0,0,1.0,0.0,0.0,3.0
Bobby Hoffman,2,0,0,0,0,2,1,0,1,0,12.0,0,0,0,0,0.0,1.0
Homer Moore,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Roberto Traven,2,1,1,0,0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Fabiano Iha,7,3,1,2,0,4,2,0,2,8.0,5.0,3.0,0,2.0,0.0,0.25,0.75
Semmy Schilt,2,1,1,0,0,1,0,1,0,5.0,0,0,1.0,0.0,2.0,0.0,2.0
Yuki Kondo,3,1,1,0,0,2,0,1,1,28.0,0,0,2.0,0.0,2.0,0.0,3.5
Paul Rodriguez,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Joey Gilbert,1,0,0,0,0,1,1,0,0,0,18.0,0,0,0,0,0.0,2.0
Phil Johns,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Mark Robinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenichi Yamamoto,2,1,0,0,1,1,0,1,0,0,0,0,3.0,0.0,0.0,0.0,3.0
Yoji Anjo,3,0,0,0,0,3,1,1,1,0,17.0,0,4.0,0,0,0.0,2.33
Daiju Takase,3,0,0,0,0,3,2,0,1,0,17.5,0,0,0,0,0.0,0.33
Lance Gibson,2,1,1,0,0,1,1,0,0,15.0,19.0,0,0,2.0,1.0,1.0,1.0
Maurice Smith,7,4,1,1,2,3,0,0,3,2.0,0,0.0,0,0.0,0.0,0.33,6.0
Aaron Brink,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
John Lewis,2,1,1,0,0,1,1,0,0,18.0,1.0,0,0,1.0,0.0,1.0,0.0
Mark Hughes,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0
Alex Stiebling,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,2.0
Ben Earwood,1,1,0,0,1,0,0,0,0,0,0,0,0,2.0,0.0,0,0
Dan Severn,7,4,0,3,1,3,1,2,0,0,0.0,1.33,0.0,1.0,0.0,0.33,0.0
Laverne Clark,5,4,3,0,1,1,0,1,0,5.33,0,0,1.0,0.5,0.25,0.0,4.0
Tedd Williams,2,1,1,0,0,1,0,0,1,5.0,0,0,0,1.0,1.0,0.0,0.0
Tim Lajcik,3,0,0,0,0,3,1,0,2,0,7.0,0,0,0,0,0.0,1.0
Brad Gumm,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0,3.0
CJ Fernandes,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Tyrone Roberts,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
David Dodd,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,1.0
Amaury Bitetti,1,0,0,0,0,1,1,0,0,0,27.0,0,0,0,0,1.0,1.0
Alex Andrade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcelo Aguiar,1,0,0,0,0,1,1,0,0,0,14.0,0,0,0,0,0.0,2.0
Joao Roque,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Nate Schroeder,1,0,0,0,0,1,1,0,0,0,13.0,0,0,0,0,0.0,1.0
Adrian Serrano,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Sanae Kikuta,1,1,0,1,0,0,0,0,0,0,0,2.0,0,2.0,0.0,0,0
Ron Waterman,4,2,1,0,1,2,1,0,1,6.0,10.0,0,0,3.0,0.0,0.5,0.0
Satoshi Honma,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Ikuhisa Minowa,1,1,1,0,0,0,0,0,0,3.0,0,0,0,3.0,0.0,0,0
Joe Slick,2,1,1,0,0,1,1,0,0,1.0,3.0,0,0,1.0,0.0,0.0,3.0
Steve Judson,2,0,0,0,0,2,2,0,0,0,4.0,0,0,0,0,1.0,0.5
Jermaine Andre,1,0,0,0,0,1,1,0,0,0,15.0,0,0,0,0,1.0,2.0
Bob Cook,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
David Velasquez,1,0,0,0,0,1,1,0,0,0,42.0,0,0,0,0,0.0,3.0
Scott Adams,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Katsuhisa Fujii,1,1,1,0,0,0,0,0,0,10.0,0,0,0,0.0,1.0,0,0
Jason DeLucia,2,1,0,1,0,1,1,0,0,0,1.0,0.0,0,0.0,0.0,0.0,2.0
Keiichiro Yamamiya,1,0,0,0,0,1,1,0,0,0,19.0,0,0,0,0,1.0,0.0
Masutatsu Yano,1,0,0,0,0,1,1,0,0,0,10.0,0,0,0,0,1.0,0.0
Frank Shamrock,5,5,2,3,0,0,0,0,0,5.5,0,0.33,0,0.2,0.4,0,0
Jason Godsey,2,0,0,0,0,2,0,2,0,0,0,0,0.5,0,0,0.0,0.5
Brad Kohler,2,1,1,0,0,1,0,1,0,3.0,0,0,0.0,4.0,1.0,0.0,0.0
Paul Jones,2,1,0,1,0,1,1,0,0,0,13.0,0.0,0,0.0,0.0,1.0,0.0
Valeri Ignatov,2,0,0,0,0,2,1,0,1,0,18.0,0,0,0,0,0.0,3.0
Lowell Anderson,1,0,0,0,0,1,1,0,0,0,18.0,0,0,0,0,0.0,1.0
Alfonso Alcarez,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0
Marco Ruas,3,2,0,2,0,1,1,0,0,0,2.0,1.5,0,1.5,0.0,0.0,0.0
Andre Pederneiras,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,0.0
Flavio Luiz Moura,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Royce Alger,2,0,0,0,0,2,1,1,0,0,15.0,0,0.0,0,0,0.5,0.0
Andre Roberts,3,2,1,0,1,1,1,0,0,10.0,6.0,0,0,0.0,0.5,0.0,0.0
Travis Fulton,2,1,0,0,1,1,0,1,0,0,0,0,0.0,1.0,1.0,0.0,0.0
Bas Rutten,2,2,1,0,1,0,0,0,0,21.0,0,0,0,0.0,0.5,0,0
Tony Petarra,1,0,0,0,0,1,1,0,0,0,12.0,0,0,0,0,1.0,0.0
Marcelo Mello,1,1,1,0,0,0,0,0,0,6.0,0,0,0,1.0,0.0,0,0
David Roberts,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,1.0
Chris Condo,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,1.0
Guy Mezger,4,3,2,0,1,1,1,0,0,13.5,22.0,0,0,0.33,0.33,1.0,2.0
Gary Goodridge,5,3,3,0,0,2,1,1,0,6.33,7.0,0,0.0,0.67,0.0,0.0,1.5
Sione Latu,1,1,1,0,0,0,0,0,0,6.0,0,0,0,1.0,0.0,0,0
Joey Roberts,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,1.0
Jorge Patino,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Jerry Bohlander,5,4,0,3,1,1,1,0,0,0,35.0,0.67,0,0.5,0.0,0.0,11.0
Mikey Burnett,3,2,1,0,1,1,0,0,1,25.0,0,0,0,1.5,0.5,0.0,1.0
Townsend Saunders,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.5,0.0
Darrel Gholar,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Frank Caracci,1,0,0,0,0,1,1,0,0,0,13.0,0,0,0,0,0.0,2.0
John Lober,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,2.0,0.0
Ebenezer Fontes Braga,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Tulio Palhares,1,1,1,0,0,0,0,0,0,26.0,0,0,0,4.0,0.0,0,0
Adriano Santos,1,0,0,0,0,1,1,0,0,0,26.0,0,0,0,0,0.0,4.0
Cesar Marscucci,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
Paulo Santos,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Hugo Duarte,1,0,0,0,0,1,1,0,0,0,11.0,0,0,0,0,0.0,0.0
Joe Pardo,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Bob Gilstrap,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Allan Goes,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,1.0
Harry Moskowitz,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0.0,0.5
Noe Hernandez,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,2.0
Igor Zinoviev,1,0,0,0,0,1,1,0,0,0,1.0,0,0,0,0,0.0,1.0
Kevin Jackson,3,1,1,0,0,2,0,2,0,3.0,0,0,0.0,4.0,0.0,0.0,0.0
Eugenio Tadeu,1,0,0,0,0,1,1,0,0,0,25.0,0,0,0,0,0.0,1.0
Courtney Turner,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Josh Stuart,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Kazushi Sakuraba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marcus Silveira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Charles,4,2,0,2,0,2,0,2,0,0,0,0.0,1.5,0.0,0.0,0.0,1.5
Mark Kerr,2,2,2,0,0,0,0,0,0,7.5,0,0,0,0.5,0.5,0,0
Dwayne Cason,1,1,1,0,0,0,0,0,0,11.0,0,0,0,1.0,0.0,0,0
Dave Beneteau,4,2,1,0,1,2,0,2,0,12.0,0,0,0.0,2.5,0.0,0.0,1.0
Carlos Barreto,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Greg Stott,1,0,0,0,0,1,1,0,0,0,1.0,0,0,0,0,1.0,0.0
Houston Dorr,1,0,0,0,0,1,1,0,0,0,11.0,0,0,0,0,0.0,1.0
Alex Hunter,2,2,0,1,1,0,0,0,0,0,0,2.0,0,1.0,0.0,0,0
Dan Bobish,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Brian Johnston,4,2,2,0,0,2,0,2,0,3.5,0,0,1.0,1.0,0.0,0.0,1.0
Moti Horenstein,2,0,0,0,0,2,2,0,0,0,17.0,0,0,0,0,0.0,1.0
Todd Butler,1,0,0,0,0,1,1,0,0,0,3.0,0,0,0,0,0.0,1.0
Joe Moreira,2,1,0,0,1,1,0,0,1,0,0,0,0,3.0,0.0,0.0,0.0
Yuri Vaulin,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,3.0
Sam Fulton,2,0,0,0,0,2,0,2,0,0,0,0,0.5,0,0,0.0,0.5
Donnie Chappell,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Steven Graham,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Tony Halme,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Dmitri Stepanov,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Enson Inoue,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
Christophe Leninger,2,0,0,0,0,2,1,0,1,0,5.0,0,0,0,0,0.0,0.5
Jack Nilson,2,1,1,0,0,1,1,0,0,11.0,0.0,0,0,0.0,0.0,0.0,0.0
Saeed Hosseini,1,0,0,0,0,1,1,0,0,0,11.0,0,0,0,0,0.0,0.0
Wes Albritton,1,0,0,0,0,1,1,0,0,0,20.0,0,0,0,0,0.0,1.0
