name,num_fights,wins,W_KO,W_SUB,W_DEC,losses,L_KO,L_SUB,L_DEC,average_head_hits_to_ko,average_head_hits_to_chin,average_takedowns_to_sub,average_takedowns_to_subed,average_takedowns,average_knockdowns,average_knocked_down,average_taken_down
Scott Ferrozzo,3,2,1,1,0,1,0,1,0,23.0,0,4.0,0.0,2.0,0.0,0.0,0.0
Nick Sanzo,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
Jim Mullen,1,0,0,0,0,1,1,0,0,0,23.0,0,0,0,0,0.0,2.0
Yoshiki Takahashi,1,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0,0
Wallid Ismail,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0
Rainy Martinez,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Justin Martin,1,1,0,1,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
Eric Martin,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Jackie Lee,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Don Frye,4,4,3,1,0,0,0,0,0,12.67,0,2.0,0,0.5,0.25,0,0
Steve Nelmark,2,2,1,1,0,0,0,0,0,12.0,0,2.0,0,1.0,0.0,0,0
Mark Hall,5,4,3,1,0,1,1,0,0,1.0,8.0,0.0,0,0.0,0.0,0.0,3.0
Paul Varelans,5,3,2,0,1,2,1,1,0,5.5,9.0,0,1.0,0.33,0.33,0.0,0.5
Cal Worsham,3,1,1,0,0,2,2,0,0,6.0,5.5,0,0,1.0,0.0,0.5,0.0
Tai Bowden,2,1,1,0,0,1,1,0,0,0.0,12.0,0,0,0.0,0.0,0.0,2.0
Marcus Bossett,2,1,1,0,0,1,0,1,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0
Felix Lee Mitchell,3,0,0,0,0,3,1,1,1,0,0.0,0,0.0,0,0,0.0,0.0
Fabio Gurgel,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,1.0
Sam Adkins,3,2,1,0,1,1,0,1,0,0.0,0,0,1.0,0.0,0.0,0.0,1.0
Reza Nasri,1,0,0,0,0,1,1,0,0,0,5.0,0,0,0,0,0.0,1.0
Julian Sanchez,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Dave Berry,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
John Campetella,1,0,0,0,0,1,1,0,0,0,5.0,0,0,0,0,0.0,0.0
Scott Fiedler,1,0,0,0,0,1,1,0,0,0,2.0,0,0,0,0,0.0,1.0
Geza Kalman,2,1,1,0,0,1,1,0,0,9.0,0.0,0,0,0.0,0.0,0.0,0.0
Dieusel Berto,1,0,0,0,0,1,1,0,0,0,9.0,0,0,0,0,0.0,0.0
Koji Kitao,1,0,0,0,0,1,1,0,0,0,2.0,0,0,0,0,0.0,0.0
Mark Schultz,1,1,1,0,0,0,0,0,0,7.0,0,0,0,3.0,0.0,0,0
Rafael Carino,1,1,1,0,0,0,0,0,0,8.0,0,0,0,1.0,0.0,0,0
Matt Andersen,1,0,0,0,0,1,1,0,0,0,8.0,0,0,0,0,0.0,1.0
Zane Frazier,1,0,0,0,0,1,1,0,0,0,6.0,0,0,0,0,0.0,1.0
Paul Herrera,1,0,0,0,0,1,1,0,0,0,8.0,0,0,0,0,0.0,1.0
Thomas Ramirez,1,0,0,0,0,1,1,0,0,0,3.0,0,0,0,0,1.0,0.0
Keith Mielke,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Oleg Taktarov,3,3,0,3,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0
Keith Hackney,3,2,1,1,0,1,0,1,0,29.0,0,0.0,1.0,0.0,0.5,0.0,2.0
Steve Jennum,3,2,1,1,0,1,0,1,0,6.0,0,3.0,1.0,1.5,0.0,0.0,1.0
Trent Jenkins,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Scott Bessac,2,1,0,1,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Remco Pardoel,2,2,0,2,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Larry Cureton,2,0,0,0,0,2,0,2,0,0,0,0,1.0,0,0,0.0,1.0
Ryan Parker,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Harold Howard,2,1,1,0,0,1,1,0,0,9.0,1.0,0,0,1.0,1.0,0.0,1.0
Gerry Harris,1,0,0,0,0,1,1,0,0,0,4.0,0,0,0,0,0.0,1.0
David Hood,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Onassis Parungao,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
Francesco Maturi,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Joel Sutton,2,2,2,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0
Anthony Macias,2,1,1,0,0,1,0,1,0,0.0,0,0,2.0,0.0,0.0,0.0,2.0
Patrick Smith,2,2,0,2,0,0,0,0,0,0,0,1.0,0,1.0,0.5,0,0
Rudyard Moncayo,1,0,0,0,0,1,0,1,0,0,0,0,2.0,0,0,1.0,2.0
John Matua,1,0,0,0,0,1,1,0,0,0,7.0,0,0,0,0,2.0,0.0
He-Man Gipson,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Jack McGlaughlin,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Todd Medina,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Ernie Verdicia,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Jon Hess,1,1,1,0,0,0,0,0,0,7.0,0,0,0,0.0,0.0,0,0
Andy Anderson,1,0,0,0,0,1,1,0,0,0,7.0,0,0,0,0,0.0,0.0
John Dowdy,1,0,0,0,0,1,1,0,0,0,10.0,0,0,0,0,1.0,0.0
Asbel Cancio,1,0,0,0,0,1,1,0,0,0,12.0,0,0,0,0,0.0,1.0
Melton Bowen,1,0,0,0,0,1,0,1,0,0,0,0,2.0,0,0,0.0,2.0
Joe Son,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Ron van Clief,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Jason Fairn,1,0,0,0,0,1,1,0,0,0,17.0,0,0,0,0,0.0,1.0
Eldo Xavier Dias,1,0,0,0,0,1,1,0,0,0,0.0,0,0,0,0,0.0,0.0
Kevin Rosier,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Roland Payne,1,0,0,0,0,1,1,0,0,0,9.0,0,0,0,0,1.0,0.0
Emmanuel Yarborough,1,0,0,0,0,1,1,0,0,0,29.0,0,0,0,0,1.0,0.0
Johnny Rhodes,1,1,1,0,0,0,0,0,0,9.0,0,0,0,1.0,0.0,0,0
Orlando Wiet,1,1,1,0,0,0,0,0,0,7.0,0,0,0,0.0,0.0,0,0
Fred Ettish,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Scott Morris,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Minoki Ichihara,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Scott Baker,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Alberta Cerra Leon,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
Robert Lucarelli,1,0,0,0,0,1,1,0,0,0,7.0,0,0,0,0,0.0,0.0
Frank Hamaker,1,1,0,1,0,0,0,0,0,0,0,1.0,0,1.0,0.0,0,0
Thaddeus Luster,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
David Levicki,1,0,0,0,0,1,1,0,0,0,9.0,0,0,0,0,0.0,1.0
Ray Wizard,1,0,0,0,0,1,0,1,0,0,0,0,0.0,0,0,0.0,0.0
Sean Daugherty,1,0,0,0,0,1,0,1,0,0,0,0,1.0,0,0,0.0,1.0
